number_sta,date,dd
14126001,2018-02-02,
14126001,2018-02-03,
14126001,2018-02-04,
14126001,2018-02-05,
14126001,2018-02-06,
14126001,2018-02-07,
14126001,2018-02-08,
14126001,2018-02-09,
14126001,2018-02-10,
14126001,2018-02-11,
14126001,2018-02-12,
14126001,2018-02-13,
14126001,2018-02-14,
14126001,2018-02-15,
14126001,2018-02-16,
14126001,2018-02-17,
14126001,2018-02-18,
14126001,2018-02-19,
14126001,2018-02-20,
14126001,2018-02-21,
14126001,2018-02-22,
14126001,2018-02-23,
14126001,2018-02-24,
14126001,2018-02-25,
14126001,2018-02-26,
14126001,2018-02-27,
14126001,2018-02-28,
14126001,2018-03-01,
14126001,2018-03-02,
14126001,2018-03-03,
14126001,2018-03-04,
14126001,2018-03-05,
14126001,2018-03-06,
14126001,2018-03-07,
14126001,2018-03-08,
14126001,2018-03-09,
14126001,2018-03-10,
14126001,2018-03-11,
14126001,2018-03-12,
14126001,2018-03-13,
14126001,2018-03-14,
14126001,2018-03-15,
14126001,2018-03-16,
14126001,2018-03-17,
14126001,2018-03-18,
14126001,2018-03-19,
14126001,2018-03-20,
14126001,2018-03-21,
14126001,2018-03-22,
14126001,2018-03-23,
14126001,2018-03-24,
14126001,2018-03-25,
14126001,2018-03-26,
14126001,2018-03-27,
14126001,2018-03-28,
14126001,2018-03-29,
14126001,2018-03-30,
14126001,2018-03-31,
14126001,2018-04-01,
14126001,2018-04-02,
14126001,2018-04-03,
14126001,2018-04-04,
14126001,2018-04-05,
14126001,2018-04-06,
14126001,2018-04-07,
14126001,2018-04-08,
14126001,2018-04-09,
14126001,2018-04-10,
14126001,2018-04-11,
14126001,2018-04-12,
14126001,2018-04-13,
14126001,2018-04-14,
14126001,2018-04-15,
14126001,2018-04-16,
14126001,2018-04-17,
14126001,2018-04-18,
14126001,2018-04-19,
14126001,2018-04-20,
14126001,2018-04-21,
14126001,2018-04-22,
14126001,2018-04-23,
14126001,2018-04-24,
14126001,2018-04-25,
14126001,2018-04-26,
14126001,2018-04-27,
14126001,2018-04-28,
14126001,2018-04-29,
14126001,2018-04-30,
14126001,2018-05-01,
14126001,2018-05-02,
14126001,2018-05-03,
14126001,2018-05-04,
14126001,2018-05-05,
14126001,2018-05-06,
14126001,2018-05-07,
14126001,2018-05-08,
14126001,2018-05-09,
14126001,2018-05-10,
14126001,2018-05-11,
14126001,2018-05-12,
14126001,2018-05-13,
