date,number_sta,precip
2022-05-25,36089003,15.1
2022-05-25,36093002,15.6
2022-05-25,36107001,15.7
2022-05-25,36127002,14.7
2022-05-25,36128001,15.7
2022-05-25,36136001,15.7
2022-05-25,36146001,15.2
2022-05-25,36173002,15.6
2022-05-25,36219001,15.7
2022-05-25,37003004,15.3
2022-05-25,37023002,15.6
2022-05-25,37055002,15.2
2022-05-25,37067003,15.0
2022-05-25,37072002,15.2
2022-05-25,37107001,14.8
2022-05-25,37109001,14.9
2022-05-25,37122003,15.6
2022-05-25,37129002,14.9
2022-05-25,37179001,15.6
2022-05-25,37192001,15.2
2022-05-25,37213003,15.1
2022-05-25,37213004,15.0
2022-05-25,37216002,15.6
2022-05-25,37240001,15.5
2022-05-25,37242002,15.5
2022-05-25,37249001,15.1
2022-05-25,37253001,14.9
2022-05-25,41053001,14.5
2022-05-25,41097001,7.3
2022-05-25,41152001,15.7
2022-05-25,41173003,15.0
2022-05-25,41281001,14.4
2022-05-25,44020001,15.0
2022-05-25,44069002,15.7
2022-05-25,44103001,15.3
2022-05-25,44110002,15.5
2022-05-25,44117002,15.2
2022-05-25,44181001,14.7
2022-05-25,45055001,14.9
2022-05-25,49008001,15.7
2022-05-25,49020001,15.7
2022-05-25,49099003,13.7
2022-05-25,49138001,15.6
2022-05-25,49173001,15.1
2022-05-25,49188001,15.3
2022-05-25,49191001,15.4
2022-05-25,49248003,15.6
2022-05-25,49331003,15.7
2022-05-25,50020001,13.9
2022-05-25,50111001,14.6
2022-05-25,50209001,15.7
2022-05-25,50215002,15.5
2022-05-25,50277001,15.7
2022-05-25,50410003,14.4
2022-05-25,50484002,12.6
2022-05-25,50509002,15.7
2022-05-25,50514001,15.1
2022-05-25,50615001,15.7
2022-05-25,53083001,14.5
2022-05-25,53096004,13.0
2022-05-25,53110002,14.8
2022-05-25,53116003,14.4
2022-05-25,53130008,15.5
2022-05-25,53159002,14.9
2022-05-25,53185001,14.2
2022-05-25,56004001,15.3
2022-05-25,56007001,15.7
2022-05-25,56009001,15.6
2022-05-25,56017003,14.7
2022-05-25,56069001,15.7
2022-05-25,56127001,14.4
2022-05-25,56137001,15.0
2022-05-25,56151001,15.7
2022-05-25,56159001,15.7
2022-05-25,56165003,15.7
2022-05-25,56166005,15.4
2022-05-25,56185001,15.1
2022-05-25,56240003,15.7
2022-05-25,56243001,15.7
2022-05-25,60322001,15.7
2022-05-25,60566001,10.9
2022-05-25,61001001,14.4
2022-05-25,61006005,14.5
2022-05-25,61169003,15.3
2022-05-25,61179001,14.8
2022-05-25,61214002,13.8
2022-05-25,61275001,14.7
2022-05-25,61387001,14.0
2022-05-25,61404001,14.0
2022-05-25,61426001,13.7
2022-05-25,61485002,14.6
2022-05-25,61491002,14.0
2022-05-25,62054001,15.7
2022-05-25,62076002,15.7
2022-05-25,62160001,15.7
2022-05-25,62548002,15.7
2022-05-25,62826001,15.6
2022-05-25,72086001,15.4
2022-05-25,72172003,14.0
2022-05-25,72175002,15.3
2022-05-25,72181001,14.9
2022-05-25,72255001,14.8
2022-05-25,72264001,15.1
2022-05-25,72284001,14.6
2022-05-25,72361001,14.4
2022-05-25,76116001,13.1
2022-05-25,76130001,14.4
2022-05-25,76171001,13.8
2022-05-25,76208001,11.9
2022-05-25,76217001,15.7
2022-05-25,76228001,15.4
2022-05-25,76473001,15.1
2022-05-25,76481001,15.5
2022-05-25,76552001,15.5
2022-05-25,76746001,15.7
2022-05-25,78140001,13.2
2022-05-25,78354001,12.5
2022-05-25,78465001,12.9
2022-05-25,78562001,13.5
2022-05-25,79049004,13.2
2022-05-25,79079013,13.8
2022-05-25,79134001,14.1
2022-05-25,79191005,12.8
2022-05-25,79202003,13.6
2022-05-25,79215001,13.6
2022-05-25,79270003,13.3
